,player_name,position,team_name
0,Rishabh Pant,Batter,Delhi Capitals
1,David Warner,Batter,Delhi Capitals
2,Prithvi Shaw,Batter,Delhi Capitals
3,Yash Dhull,Batter,Delhi Capitals
4,Shai Hope,Batter,Delhi Capitals
5,Swastik Chhikara,Batter,Delhi Capitals
6,Abishek Porel,Batter,Delhi Capitals
7,Harry Brook,Batter,Delhi Capitals
8,Ricky Bhui,Batter,Delhi Capitals
9,Kumar Kushagra,Batter,Delhi Capitals
10,Tristan Stubbs,Batter,Delhi Capitals
11,Axar Patel,All Rounder,Delhi Capitals
12,Lalit yadav,All Rounder,Delhi Capitals
13,Mitchell Marsh,All Rounder,Delhi Capitals
14,Sumit Kumar,All Rounder,Delhi Capitals
15,Pravin Dubey,Bowler,Delhi Capitals
16,Vickey Ostwal,Bowler,Delhi Capitals
17,Anrich Nortje,Bowler,Delhi Capitals
18,Kuldeep Yadav,Bowler,Delhi Capitals
19,Lungi Ngidi,Bowler,Delhi Capitals
20,Khaleel Ahmed,Bowler,Delhi Capitals
21,Ishanth Sharma,Bowler,Delhi Capitals
22,Jhye Richardson,Bowler,Delhi Capitals
23,Mukesh Kumar,Bowler,Delhi Capitals
24,Rasikh Dar,Bowler,Delhi Capitals
26,MS DHONI,Batter,Csk
27,DEVON CONWAY,Batter,Csk
28,RUTURAJ GAIKWAD,Batter,Csk
29,AJINKYA RAHANE,Batter,Csk
30,SHAIK RASHEED,Batter,Csk
31,SAMEER RIZVI,Batter,Csk
32,AVINASHI RAO ARAVELLY,Batter,Csk
33,Ravindara Jadeja,All rounder,Csk
34,Mitchell Santer,All rounder,Csk
35,Moeen Ali,All rounder,Csk
36,Shivam Dube,All rounder,Csk
37,Nishanth Sindhu,All rounder,Csk
38,Ajay Mandal,All rounder,Csk
39,Rachin Ravindra,All rounder,Csk
40,Shardul Thakur,All rounder,Csk
41,Dary Mitchell,All rounder,Csk
42,Rajvardhan Hangargekar,Bowler,Csk
43,Deepak Chahar,All rounder,Csk
44,Maheesh Theekshana,Bowler,Csk
45,Mukesh Choudhary,Bowler,Csk
46,Mustafizur Rahman,Bowler,Csk
47,Prashant Solanki,Bowler,Csk
48,Simarjeet Singh,Bowler,Csk
49,Tushar Deshpande,Bowler,Csk
50,Matheesha Pathirana,Bowler,Csk
51,David Miller,Batter,Gujarat Titans
52,Shubman Gill,Batter,Gujarat Titans
53,Matthew wade,Batter,Gujarat Titans
54,Wriddhiman Saha,Batter,Gujarat Titans
55,Robin minz,Batter,Gujarat Titans
56,Kane Williamson,Batter,Gujarat Titans
57,Abhinav Manohar,All rounder,Gujarat Titans
58,B.Sai Sudharsan,All rounder,Gujarat Titans
59,Darshan Nalkande,All rounder,Gujarat Titans
60,Vijay Shankar,All rounder,Gujarat Titans
61,Azmatullah Omarzai,All rounder,Gujarat Titans
62,Sharukh Khan,All rounder,Gujarat Titans
63,Jayant Yadav,All rounder,Gujarat Titans
64,Rahul Tewatia,All rounder,Gujarat Titans
65,Mohammad shami,Bowler,Gujarat Titans
66,Kartik Tyagi,Bowler,Gujarat Titans
67,Sushant Mishra,Bowler,Gujarat Titans
68,Spencer Johnson,Bowler,Gujarat Titans
69,Noor Ahmad,Bowler,Gujarat Titans
70,Sai Kishore,Bowler,Gujarat Titans
71,Umesh Yadav,Bowler,Gujarat Titans
72,Rashid khan,Bowler,Gujarat Titans
73,Joshua Little,Bowler,Gujarat Titans
74,Mohit Sharma,Bowler,Gujarat Titans
75,Manav Suthra,Bowler,Gujarat Titans
76,Nitish Rana,All rounder,Kolkata Night Riders
77,Rinku Singh ,Batter,Kolkata Night Riders
78,Rahmanullah Gurbaz,Batter,Kolkata Night Riders
79,Shreyas Iyer,Batter,Kolkata Night Riders
80,Sherfane Rutherford,Batter,Kolkata Night Riders
81,K S Bharat ,Batter,Kolkata Night Riders
82,Manish Pandey ,Batter,Kolkata Night Riders
83,Jason Roy,Batter,Kolkata Night Riders
84,AngKrish Raghuvanshi,Batter,Kolkata Night Riders
85,Ankul Roy,All rounder,Kolkata Night Riders
86,Ramandeep Singh,All rounder,Kolkata Night Riders
87,Andre Russell,All rounder,Kolkata Night Riders
88,Venkatesh Iyer,Batter,Kolkata Night Riders
89,Suyash sharma,Bowler,Kolkata Night Riders
90,Mujeeb Ur Rahman,Bowler,Kolkata Night Riders
91,Gus Atkinson,Bowler,Kolkata Night Riders
92,Sakib Hussian,Bowler,Kolkata Night Riders
93,Harshith Rana,Bowler,Kolkata Night Riders
94,Sunil Narine,Bowler,Kolkata Night Riders
95,Vaibhav Arora ,Bowler,Kolkata Night Riders
96,Varun Chakaravarthy,Bowler,Kolkata Night Riders
97,Mitchell starc,Bowler,Kolkata Night Riders
98,Chetan Sakariya,Bowler,Kolkata Night Riders
99,KL Rahul,Batter,Lucknow Super Giants
100,DevDutt Padikal,Batter,Lucknow Super Giants
101,Quinton De Kock,Batter,Lucknow Super Giants
102,Nicholas Pooran,Batter,Lucknow Super Giants
103,Ashton Turner,Batter,Lucknow Super Giants
104,Ayush Badoni,All rounder,Lucknow Super Giants
105,Deepak Hooda,All rounder,Lucknow Super Giants
106,Krishnappa Gowtham,All rounder,Lucknow Super Giants
107,Krunal Pandya,All rounder,Lucknow Super Giants
108,Kyle Mayers,All rounder,Lucknow Super Giants
109,Marcus Stonis,All rounder,Lucknow Super Giants
110,Arshad Khan,All rounder,Lucknow Super Giants
111,Prerak Mankad,All rounder,Lucknow Super Giants
112,Yudhvir Singh,All rounder,Lucknow Super Giants
113,Arshin Kulkarni,All rounder,Lucknow Super Giants
114,David willey,All rounder,Lucknow Super Giants
115,Shivam Mavi,Bowler,Lucknow Super Giants
116,Mark wood,Bowler,Lucknow Super Giants
117,Mayank Yadav,Bowler,Lucknow Super Giants
118,Mohshin Khan,Bowler,Lucknow Super Giants
119,Ravi Bishnoi,Bowler,Lucknow Super Giants
120,Yash Thakur,Bowler,Lucknow Super Giants
121,Amit Mishra,Bowler,Lucknow Super Giants
122,Naveen Ul Haq,Bowler,Lucknow Super Giants
123,M Sidhdharth,Bowler,Lucknow Super Giants
124,Rohit Sharma,Batter,Mumbai Indians
125,Dewald Brevis,Batter,Mumbai Indians
126,SuryaKumar yadav,Batter,Mumbai Indians
127,Ishan Kishan,Batter,Mumbai Indians
128,N.Tilak Varma,Batter,Mumbai Indians
129,Tim david,Batter,Mumbai Indians
130,Vishnu Vinod,Batter,Mumbai Indians
131,Mohammad Nabi,All rounder,Mumbai Indians
132,Arjun Tendulkar,All rounder,Mumbai Indians
133,Romario Shephered,All rounder,Mumbai Indians
134,Shams Mulani,All rounder,Mumbai Indians
135,Nehal Wadhera,All rounder,Mumbai Indians
136,Hardik Pandya,All rounder,Mumbai Indians
137,Gerald Coetzee,All rounder,Mumbai Indians
138,Anshul Kamboj,All rounder,Mumbai Indians
139,Naman Dhir,All rounder,Mumbai Indians
140,Shivalik Sharma,All rounder,Mumbai Indians
141,Jasprit Bumrah,Bowler,Mumbai Indians
142,Kumar Kartikeya Singh,Bowler,Mumbai Indians
143,Piyush Chawla ,Bowler,Mumbai Indians
144,Akash Madhwal,Bowler,Mumbai Indians
145,Jason Behrendorff,Bowler,Mumbai Indians
146,Dilshan Madushanka,Bowler,Mumbai Indians
147,Shreyas Gopal ,Bowler,Mumbai Indians
148,Nuwan Thushara,Bowler,Mumbai Indians
149,Shikar Dhawan,Batter,Punjab Kings
150,Jitesh Sharma,Batter,Punjab Kings
151,Jonny Bairstow,Batter,Punjab Kings
152,Prabhsimran Singh,Batter,Punjab Kings
153,Liam Livingstone,Batter,Punjab Kings
154,Harpreet Bhatia,Batter,Punjab Kings
155,Rilee Rossouw,Batter,Punjab Kings
156,Shashank Singh,Batter,Punjab Kings
157,Chris Woakes,All rounder,Punjab Kings
158,vishwanath Pratap Singh,All rounder,Punjab Kings
159,Ashutosh Sharma,All rounder,Punjab Kings
160,Tanay Thyagarajan,All rounder,Punjab Kings
161,Atharva Taide,All rounder,Punjab Kings
162,Rishi Dhawan,All rounder,Punjab Kings
163,Sam Curran,All rounder,Punjab Kings
164,Sikandar Raja,All rounder,Punjab Kings
165,Shivam singh,All rounder,Punjab Kings
166,Prince Choudhary,Bowler,Punjab Kings
167,Harpreet Bhar,Bowler,Punjab Kings
168,Arshdeep Singh,Bowler,Punjab Kings
169,Kasigo Rabada,Bowler,Punjab Kings
170,Nathan Ellis,Bowler,Punjab Kings
171,Rahul Chahar,Bowler,Punjab Kings
172,Vidwath Kaverappa,Bowler,Punjab Kings
173,Harshal Patel,Bowler,Punjab Kings
174,Sanju Samson,Batter,Rajasthan Royals
175,JosButtler,Batter,Rajasthan Royals
176,Shimron Hetmyer,Batter,Rajasthan Royals
177,Yashasvi Jaiswal,Batter,Rajasthan Royals
178,Dhruv Jurel,Batter,Rajasthan Royals
179,Riyan parag,Batter,Rajasthan Royals
180,Kunal Rathore,Batter,Rajasthan Royals
181,Donovan Ferreira,Batter,Rajasthan Royals
182,Rovan Powell,Batter,Rajasthan Royals
183,Shubham Dubey,Batter,Rajasthan Royals
184,Tom Kohler-CadMore,Batter,Rajasthan Royals
185,Ravichandran Ashwin,All rounder,Rajasthan Royals
186,Abid Mushtaq,All rounder,Rajasthan Royals
187,Avesh Khan ,Bowler,Rajasthan Royals
188,Kuldeep Sen,Bowler,Rajasthan Royals
189,Navdeep Sain,Bowler,Rajasthan Royals
190,Prasidh Krishna,Bowler,Rajasthan Royals
191,Sandeep Sharma,Bowler,Rajasthan Royals
192,Trent Boult,Bowler,Rajasthan Royals
193,Yuzvendra Chahal,Bowler,Rajasthan Royals
194,Adam Zampa,Bowler,Rajasthan Royals
195,Nandre Burger,Bowler,Rajasthan Royals
196,Faf Du plessis,Batter,RCB
197,Rajat Patidar,Batter,RCB
198,Virat Kohli,Batter,RCB
199,Anuj Rawat,Batter,RCB
200,Dinesh Karthik,Batter,RCB
201,Suyash Prabhudessai,Batter,RCB
202,Will jacks,Batter,RCB
203,SauravChuahan,Batter,RCB
204,GlenMaxwell,All rounder,RCB
205,Mahipal Lomror,All rounder,RCB
206,Karn sharma,All rounder,RCB
207,Cameron Green,All rounder,RCB
208,Swapnil Singh,All rounder,RCB
209,Mayank Dagar,All rounder,RCB
210,Manoj Bhandage,All rounder,RCB
211,Akash Deep,Bowler,RCB
212,Alzarri Joseph,Bowler,RCB
213,Lockie Ferguson,Bowler,RCB
214,Mohammed Siraj,Bowler,RCB
215,Yash dayal,Bowler,RCB
216,Tom curran,Bowler,RCB
217,Reece Topley,Bowler,RCB
218,Himanshu Sharma,Bowler,RCB
219,Vyshak Vijay Kumar,Bowler,RCB
220,Rajan Kumar,Bowler,RCB
